Run_ID,Algorytm,Metoda,n_punktow,OA_bazowa_%,OA_bazowa_CI_dol_%,OA_bazowa_CI_gora_%,OA_metody_%,OA_metody_CI_dol_%,OA_metody_CI_gora_%,Delta_pp,Delta_CI_dol_pp,Delta_CI_gora_pp,CI_wyklucza_zero,F1_makro_bazowa_%,F1_makro_metody_%,Delta_F1_makro_pp
123456_poprawny_L1C_class,spectral angle mapping,Band_Z-score,847,85.7143,83.1963,87.9098,85.8323,83.3219,88.0193,0.1181,-0.3993,0.6354,nie,82.2587,82.5478,0.2892
123456_poprawny_L1C_class,minimum distance,IQR,847,81.9362,79.2030,84.3811,83.3530,80.6949,85.7099,1.4168,0.0316,2.8019,TAK,76.3682,77.1199,0.7517
123456_poprawny_L1C_roi,maximum likelihood,OneClassSVM,847,70.1299,66.9623,73.1157,72.4911,69.3873,75.3919,2.3613,0.9437,3.7788,TAK,72.1918,73.7915,1.5997
123456_poprawny_L1C_roi,random forest,PCA_Reconstruction,847,70.4841,67.3254,73.4577,71.7828,68.6588,74.7101,1.2987,0.0995,2.4979,TAK,71.8413,72.3034,0.4620
123456_poprawny_L1C_roi,multi-layer perceptron,OneClassSVM,847,82.4085,79.6996,84.8247,84.0614,81.4433,86.3719,1.6529,-0.6116,3.9174,nie,75.7306,79.5632,3.8326
123456_poprawny_L1C_roi,support vector machine,PCA_Reconstruction,847,87.7214,85.3393,89.7628,87.7214,85.3393,89.7628,0.0000,0.0000,0.0000,nie,83.1924,83.1924,0.0000
123456_poprawny_L1C_roi,spectral angle mapping,MAD,847,85.7143,83.1963,87.9098,85.7143,83.1963,87.9098,0.0000,-0.7318,0.7318,nie,82.2587,82.3719,0.1133
123456_poprawny_L1C_roi,minimum distance,IQR,847,81.9362,79.2030,84.3811,82.1724,79.4512,84.6030,0.2361,-0.3305,0.8027,nie,76.3682,76.6354,0.2672
123456_poprawny_L2A_class,maximum likelihood,MAD,847,74.7344,71.7008,77.5446,78.0401,75.1290,80.6980,3.3058,1.5576,5.0540,TAK,74.6783,76.8039,2.1257
123456_poprawny_L2A_class,random forest,SAM,847,80.4014,77.5934,82.9350,81.3459,78.5831,83.8257,0.9445,-0.2337,2.1227,nie,75.6512,76.6889,1.0377
123456_poprawny_L2A_class,multi-layer perceptron,OneClassSVM,847,80.0472,77.2228,82.6003,82.4085,79.6996,84.8247,2.3613,-0.1259,4.8485,nie,72.8981,77.2733,4.3752
123456_poprawny_L2A_class,support vector machine,SAM,847,85.2420,82.6944,87.4714,85.4782,82.9452,87.6907,0.2361,-0.2264,0.6987,nie,82.0868,82.4495,0.3628
123456_poprawny_L2A_class,spectral angle mapping,PCA,847,81.8182,79.0790,84.2701,83.3530,80.6949,85.7099,1.5348,-0.2989,3.3686,nie,76.0858,78.5673,2.4814
123456_poprawny_L2A_class,minimum distance,MAD,847,80.2834,77.4698,82.8235,81.4640,78.7070,83.9368,1.1806,-0.1663,2.5276,nie,74.9766,76.4687,1.4921
123456_poprawny_L2A_roi,maximum likelihood,Mahalanobis,847,74.7344,71.7008,77.5446,76.3872,73.4119,79.1243,1.6529,0.3904,2.9154,TAK,74.6783,76.2595,1.5812
123456_poprawny_L2A_roi,random forest,GMM,847,80.1653,77.3463,82.7119,81.1098,78.3355,83.6032,0.9445,-0.2337,2.1227,nie,75.1914,76.1075,0.9161
123456_poprawny_L2A_roi,multi-layer perceptron,GMM,847,80.0472,77.2228,82.6003,80.6375,77.8406,83.1579,0.5903,-1.0290,2.2096,nie,72.8981,76.3386,3.4405
123456_poprawny_L2A_roi,support vector machine,PCA_Reconstruction,847,85.2420,82.6944,87.4714,85.3601,82.8198,87.5811,0.1181,-0.1132,0.3493,nie,82.0868,82.3243,0.2375
123456_poprawny_L2A_roi,spectral angle mapping,Erosion,847,81.8182,79.0790,84.2701,82.2904,79.5754,84.7139,0.4723,-0.3930,1.3375,nie,76.0858,76.8889,0.8031
123456_poprawny_L2A_roi,minimum distance,Robust_Mahalanobis,847,80.2834,77.4698,82.8235,80.7556,77.9642,83.2693,0.4723,-0.2588,1.2033,nie,74.9766,75.4287,0.4522
123456_zbledami_L1C_class,maximum likelihood,Robust_Mahalanobis,847,54.7816,51.4157,58.1043,76.0331,73.0448,78.7863,21.2515,17.9323,24.5707,TAK,58.2057,73.5391,15.3334
123456_zbledami_L1C_class,random forest,IsolationForest,847,63.4002,60.1024,66.5770,69.5396,66.3576,72.5451,6.1393,3.8862,8.3924,TAK,64.9962,68.1953,3.1991
123456_zbledami_L1C_class,multi-layer perceptron,HotellingT2,847,80.0472,77.2228,82.6003,86.4227,83.9507,88.5658,6.3754,3.8137,8.9372,TAK,77.6835,82.1515,4.4680
123456_zbledami_L1C_class,support vector machine,PCA,847,88.3117,85.9730,90.3044,90.0826,87.8852,91.9182,1.7710,0.1227,3.4192,TAK,83.7370,87.1359,3.3989
123456_zbledami_L1C_class,spectral angle mapping,SAM,847,88.4298,86.1000,90.4125,89.2562,86.9907,91.1673,0.8264,0.2168,1.4361,TAK,84.9195,86.0833,1.1638
123456_zbledami_L1C_class,minimum distance,PCA,847,84.2975,81.6931,86.5922,85.2420,82.6944,87.4714,0.9445,-0.9905,2.8795,nie,79.7904,79.1891,-0.6013
