Wariant,Stan,Raster,Zakres,Algorytm,OA_bazowe_%,Kappa_bazowe,Najlepsza_metoda,Delta_OA_pp,Istotne_lok
12456,zbledami,L1C,roi,multi-layer perceptron,89.2144,0.8315,LOF,-0.3995,nie
12456,zbledami,L1C,roi,support vector machine,91.0786,0.8618,HotellingT2,+1.0652,nie
12456,zbledami,L1C,roi,spectral angle mapping,89.2144,0.8346,IQR,+0.9321,nie
12456,zbledami,L1C,roi,minimum distance,85.7523,0.7769,LOF,+0.2663,nie
12456,zbledami,L1C,class,maximum likelihood,61.5180,0.5011,Robust Mahalanobis,+14.7803,TAK
12456,zbledami,L1C,class,random forest,63.7816,0.5291,MAD,+4.1278,TAK
12456,zbledami,L1C,class,multi-layer perceptron,85.6192,0.7781,IsolationForest,+1.7310,nie
12456,zbledami,L1C,class,support vector machine,91.0786,0.8618,PCA Mahalanobis,+1.3316,nie
12456,zbledami,L1C,class,spectral angle mapping,89.2144,0.8346,SAM,+0.7989,nie
12456,zbledami,L1C,class,minimum distance,85.7523,0.7769,PCA Mahalanobis,+1.8642,nie
12456,poprawny,L2A,roi,maximum likelihood,74.8336,0.6545,Robust Mahalanobis,+1.4647,nie
12456,poprawny,L2A,roi,random forest,81.8908,0.7204,LOF,+1.0652,nie
12456,poprawny,L2A,roi,multi-layer perceptron,80.4261,0.7049,IsolationForest,+2.1305,nie
12456,poprawny,L2A,roi,support vector machine,86.9507,0.8037,HotellingT2,+0.6658,nie
12456,poprawny,L2A,roi,spectral angle mapping,82.8229,0.7376,Erosion,+0.6658,nie
12456,poprawny,L2A,roi,minimum distance,82.1571,0.7264,Robust Mahalanobis,+0.5326,nie
12456,poprawny,L2A,class,maximum likelihood,74.8336,0.6545,MAD,+3.7284,TAK
12456,poprawny,L2A,class,random forest,81.8908,0.7209,HotellingT2,+1.0652,nie
12456,poprawny,L2A,class,multi-layer perceptron,80.4261,0.7049,GMM,+1.0652,nie
12456,poprawny,L2A,class,support vector machine,86.9507,0.8037,kNN,+0.7989,nie
12456,poprawny,L2A,class,spectral angle mapping,82.8229,0.7376,PCA Mahalanobis,+1.5979,nie
12456,poprawny,L2A,class,minimum distance,82.1571,0.7264,PCA Mahalanobis,+0.9321,nie
12456,zbledami,L2A,roi,maximum likelihood,69.7736,0.5871,Robust Mahalanobis,+7.4567,TAK
12456,zbledami,L2A,roi,random forest,84.0213,0.7644,HotellingT2,+2.9294,TAK
12456,zbledami,L2A,roi,multi-layer perceptron,77.0972,0.6749,Mahalanobis,+11.9840,TAK
12456,zbledami,L2A,roi,support vector machine,91.6112,0.8719,Band Z-score,+1.0652,nie
12456,zbledami,L2A,roi,spectral angle mapping,84.5539,0.7645,MAD,+0.6658,nie
12456,zbledami,L2A,roi,minimum distance,84.9534,0.7645,Erosion,+0.3995,nie
12456,zbledami,L2A,class,maximum likelihood,69.7736,0.5871,Robust Mahalanobis,+8.3888,TAK
12456,zbledami,L2A,class,random forest,84.8202,0.7760,PCA Reconstruction,+1.9973,nie
12456,zbledami,L2A,class,multi-layer perceptron,86.4181,0.7902,Band Z-score,+2.3968,nie
12456,zbledami,L2A,class,support vector machine,91.6112,0.8719,Mahalanobis,+1.4647,nie
12456,zbledami,L2A,class,spectral angle mapping,84.5539,0.7645,Band Z-score,+0.9321,nie
12456,zbledami,L2A,class,minimum distance,84.9534,0.7645,PCA Mahalanobis,+1.4647,nie
124567,poprawny,L1C,roi,maximum likelihood,56.1917,0.4915,OneClassSVM,+1.8642,nie
124567,poprawny,L1C,roi,random forest,45.5393,0.3832,Robust Mahalanobis,+0.6658,nie
124567,poprawny,L1C,roi,multi-layer perceptron,78.8282,0.7231,kNN,+1.4647,nie
124567,poprawny,L1C,roi,support vector machine,79.6272,0.7363,PCA Reconstruction,+0.7989,nie
124567,poprawny,L1C,roi,spectral angle mapping,77.0972,0.7055,IQR,+0.6658,nie
124567,poprawny,L1C,roi,minimum distance,76.4314,0.6905,IQR,+0.5326,nie
124567,poprawny,L1C,class,maximum likelihood,56.1917,0.4915,Robust Mahalanobis,+6.6578,TAK
124567,poprawny,L1C,class,random forest,45.2730,0.3802,OneClassSVM,+0.6658,nie
124567,poprawny,L1C,class,multi-layer perceptron,79.2277,0.7301,Band Z-score,+2.9294,TAK
124567,poprawny,L1C,class,support vector machine,79.6272,0.7363,PCA Mahalanobis,+3.5952,TAK
124567,poprawny,L1C,class,spectral angle mapping,77.0972,0.7055,PCA Mahalanobis,+5.3262,TAK
124567,poprawny,L1C,class,minimum distance,76.4314,0.6905,PCA Mahalanobis,+5.3262,TAK
124567,zbledami,L1C,roi,maximum likelihood,44.3409,0.3592,SAM,+1.5979,nie
124567,zbledami,L1C,roi,random forest,39.9467,0.3234,Mahalanobis,+5.5925,TAK
124567,zbledami,L1C,roi,multi-layer perceptron,76.0320,0.6904,IQR,+6.1252,TAK
124567,zbledami,L1C,roi,support vector machine,82.8229,0.7770,IQR,+0.9321,nie
124567,zbledami,L1C,roi,spectral angle mapping,81.7577,0.7634,PCA Reconstruction,-0.5326,nie
124567,zbledami,L1C,roi,minimum distance,80.1598,0.7369,LOF,+0.1332,nie
124567,zbledami,L1C,class,maximum likelihood,44.3409,0.3592,Robust Mahalanobis,+10.5193,TAK
124567,zbledami,L1C,class,random forest,39.5473,0.3188,MAD,+18.6418,TAK
124567,zbledami,L1C,class,multi-layer perceptron,80.1598,0.7380,MAD,-1.1984,nie
124567,zbledami,L1C,class,support vector machine,82.8229,0.7770,IQR,+2.5300,TAK
124567,zbledami,L1C,class,spectral angle mapping,81.7577,0.7634,MAD,+0.1332,nie
124567,zbledami,L1C,class,minimum distance,80.1598,0.7369,IQR,+1.8642,nie
124567,poprawny,L2A,roi,maximum likelihood,58.4554,0.5064,PCA Mahalanobis,+1.4647,nie
124567,poprawny,L2A,roi,random forest,73.5020,0.6525,OneClassSVM,+0.9321,nie
124567,poprawny,L2A,roi,multi-layer perceptron,64.4474,0.5476,PCA Reconstruction,+9.4541,TAK
124567,poprawny,L2A,roi,support vector machine,75.2330,0.6812,IQR,+0.9321,nie
124567,poprawny,L2A,roi,spectral angle mapping,71.7710,0.6398,Erosion,+0.6658,nie
124567,poprawny,L2A,roi,minimum distance,73.6352,0.6556,Robust Mahalanobis,+0.5326,nie
124567,poprawny,L2A,class,maximum likelihood,58.4554,0.5064,Robust Mahalanobis,+6.2583,TAK
124567,poprawny,L2A,class,random forest,72.9694,0.6418,HotellingT2,+1.9973,nie
124567,poprawny,L2A,class,multi-layer perceptron,63.1158,0.5358,SAM,+7.9893,TAK
124567,poprawny,L2A,class,support vector machine,75.2330,0.6812,Robust Mahalanobis,+9.5872,TAK
124567,poprawny,L2A,class,spectral angle mapping,71.7710,0.6398,Robust Mahalanobis,+5.0599,TAK
124567,poprawny,L2A,class,minimum distance,73.6352,0.6556,Robust Mahalanobis,+8.2557,TAK
124567,zbledami,L2A,roi,maximum likelihood,60.4527,0.5125,IsolationForest,+2.9294,TAK
124567,zbledami,L2A,roi,random forest,75.3662,0.6837,Percentile,+5.8589,TAK
124567,zbledami,L2A,roi,multi-layer perceptron,71.6378,0.6345,Erosion,+3.7284,TAK
124567,zbledami,L2A,roi,support vector machine,82.4234,0.7737,IQR,+0.6658,nie
124567,zbledami,L2A,roi,spectral angle mapping,74.7004,0.6751,Mahalanobis,-0.3995,nie
124567,zbledami,L2A,roi,minimum distance,77.6298,0.7050,LOF,+0.0000,nie
124567,zbledami,L2A,class,maximum likelihood,60.4527,0.5125,Percentile,+4.3941,TAK
124567,zbledami,L2A,class,random forest,77.0972,0.7054,IQR,+2.1305,nie
124567,zbledami,L2A,class,multi-layer perceptron,67.2437,0.5880,EllipticEnvelope,+11.9840,TAK
124567,zbledami,L2A,class,support vector machine,82.4234,0.7737,Percentile,+1.4647,nie
124567,zbledami,L2A,class,spectral angle mapping,74.7004,0.6751,IQR,+1.0652,nie
124567,zbledami,L2A,class,minimum distance,77.6298,0.7050,PCA Mahalanobis,+1.5979,nie
13456,poprawny,L1C,roi,maximum likelihood,73.5537,0.6499,OneClassSVM,+2.1251,TAK
13456,poprawny,L1C,roi,random forest,58.3235,0.4750,Robust Mahalanobis,+4.6045,TAK
13456,poprawny,L1C,roi,multi-layer perceptron,86.7769,0.8066,OneClassSVM,+3.0697,TAK
13456,poprawny,L1C,roi,support vector machine,91.8536,0.8802,kNN,-0.1181,nie
13456,poprawny,L1C,roi,spectral angle mapping,89.1381,0.8425,MAD,+0.1181,nie
13456,poprawny,L1C,roi,minimum distance,86.0685,0.7946,OneClassSVM,+0.0000,nie
13456,poprawny,L1C,class,maximum likelihood,73.5537,0.6499,PCA Mahalanobis,+11.8064,TAK
13456,poprawny,L1C,class,random forest,56.1983,0.4530,Robust Mahalanobis,+23.7308,TAK
13456,poprawny,L1C,class,multi-layer perceptron,83.5891,0.7632,EllipticEnvelope,+4.4864,TAK
13456,poprawny,L1C,class,support vector machine,91.8536,0.8802,IQR,+0.9445,nie
13456,poprawny,L1C,class,spectral angle mapping,89.1381,0.8425,IQR,+0.1181,nie
13456,poprawny,L1C,class,minimum distance,86.0685,0.7946,Percentile,+0.1181,nie
13456,zbledami,L1C,roi,maximum likelihood,62.8099,0.5403,Erosion,+11.8064,TAK
13456,zbledami,L1C,roi,random forest,63.8725,0.5296,HotellingT2,+3.5419,TAK
13456,zbledami,L1C,roi,multi-layer perceptron,89.0201,0.8444,IQR,+1.0626,nie
13456,zbledami,L1C,roi,support vector machine,91.7355,0.8793,Mahalanobis,+0.4723,nie
13456,zbledami,L1C,roi,spectral angle mapping,91.3813,0.8752,IQR,+0.8264,nie
13456,zbledami,L1C,roi,minimum distance,86.7769,0.8066,LOF,+0.0000,nie
13456,zbledami,L1C,class,maximum likelihood,62.8099,0.5403,Robust Mahalanobis,+15.5844,TAK
13456,zbledami,L1C,class,random forest,64.6989,0.5397,Robust Mahalanobis,+4.1322,TAK
13456,zbledami,L1C,class,multi-layer perceptron,86.7769,0.8038,Band Z-score,+4.6045,TAK
13456,zbledami,L1C,class,support vector machine,91.7355,0.8793,MAD,+2.0071,TAK
13456,zbledami,L1C,class,spectral angle mapping,91.3813,0.8752,SAM,+0.9445,TAK
13456,zbledami,L1C,class,minimum distance,86.7769,0.8066,PCA Mahalanobis,+5.0767,TAK
13456,poprawny,L2A,roi,maximum likelihood,78.6305,0.7131,Robust Mahalanobis,+3.0697,TAK
13456,poprawny,L2A,roi,random forest,83.7072,0.7624,PCA Mahalanobis,+1.1806,nie
13456,poprawny,L2A,roi,multi-layer perceptron,83.2349,0.7548,Percentile,+0.5903,nie
13456,poprawny,L2A,roi,support vector machine,88.5478,0.8357,PCA Reconstruction,+0.0000,nie
13456,poprawny,L2A,roi,spectral angle mapping,86.5407,0.8051,IQR,+0.8264,nie
13456,poprawny,L2A,roi,minimum distance,84.4156,0.7735,MAD,+0.3542,nie
13456,poprawny,L2A,class,maximum likelihood,78.6305,0.7131,Percentile,+2.8335,TAK
13456,poprawny,L2A,class,random forest,83.7072,0.7617,Mahalanobis,+1.2987,nie
13456,poprawny,L2A,class,multi-layer perceptron,79.3388,0.7083,PCA Mahalanobis,+5.9032,TAK
13456,poprawny,L2A,class,support vector machine,88.5478,0.8357,PCA Mahalanobis,+2.8335,TAK
13456,poprawny,L2A,class,spectral angle mapping,86.5407,0.8051,PCA Mahalanobis,+2.3613,TAK
13456,poprawny,L2A,class,minimum distance,84.4156,0.7735,PCA Mahalanobis,+3.8961,TAK
13456,zbledami,L2A,roi,maximum likelihood,79.4569,0.7243,Erosion,+1.1806,nie
13456,zbledami,L2A,roi,random forest,86.3046,0.8077,EllipticEnvelope,+1.1806,nie
