Run_ID,Algorytm,Metoda,DA_bazowa_%,DA_metody_%,Delta_DA_pp,b,c,p,p_Holm_rodzina,Rodzina_n,Istotne_005
123456_zbledami_L1C_roi,multi-layer perceptron,SAM,80.0472,87.9575,7.9103,29,96,0.0000,0.0000,102,TAK
123456_zbledami_L1C_roi,support vector machine,Band_Z-score,88.3117,88.5478,0.2361,4,6,0.7539,1.0000,102,nie
123456_zbledami_L1C_roi,spectral angle mapping,IQR,88.4298,89.1381,0.7084,18,24,0.4404,1.0000,102,nie
123456_zbledami_L1C_roi,minimum distance,LOF,84.2975,84.4156,0.1181,4,5,1.0000,1.0000,102,nie
123456_zbledami_L2A_class,maximum likelihood,Robust_Mahalanobis,70.6021,79.4569,8.8548,41,116,0.0000,0.0000,102,TAK
123456_zbledami_L2A_class,random forest,IQR,80.0472,84.0614,4.0142,28,62,0.0005,0.0403,102,TAK
123456_zbledami_L2A_class,multi-layer perceptron,IsolationForest,73.9079,86.0685,12.1606,46,149,0.0000,0.0000,102,TAK
123456_zbledami_L2A_class,support vector machine,Robust_Mahalanobis,89.6104,90.2007,0.5903,21,26,0.5596,1.0000,102,nie
123456_zbledami_L2A_class,spectral angle mapping,IQR,83.1169,84.1795,1.0626,12,21,0.1637,1.0000,102,nie
123456_zbledami_L2A_class,minimum distance,PCA,83.7072,85.9504,2.2432,14,33,0.0087,0.6401,102,nie
123456_zbledami_L2A_roi,maximum likelihood,IsolationForest,70.6021,70.9563,0.3542,11,14,0.6892,1.0000,102,nie
123456_zbledami_L2A_roi,random forest,Mahalanobis,79.3388,83.5891,4.2503,20,56,0.0001,0.0048,102,TAK
123456_zbledami_L2A_roi,multi-layer perceptron,OneClassSVM,63.9906,84.7698,20.7792,44,220,0.0000,0.0000,102,TAK
123456_zbledami_L2A_roi,support vector machine,IsolationForest,89.6104,89.3743,-0.2361,3,1,0.6250,1.0000,102,nie
123456_zbledami_L2A_roi,spectral angle mapping,MAD,83.1169,83.8253,0.7084,21,27,0.4705,1.0000,102,nie
123456_zbledami_L2A_roi,minimum distance,Erosion,83.7072,84.1795,0.4723,9,13,0.5235,1.0000,102,nie
124567_poprawny_L1C_class,maximum likelihood,Robust_Mahalanobis,56.1917,62.8495,6.6578,34,84,0.0000,0.0006,102,TAK
124567_poprawny_L1C_class,random forest,OneClassSVM,45.2730,45.9387,0.6658,6,11,0.3323,1.0000,102,nie
124567_poprawny_L1C_class,multi-layer perceptron,Band_Z-score,79.2277,82.1571,2.9294,20,42,0.0077,0.6352,102,nie
124567_poprawny_L1C_class,support vector machine,PCA,79.6272,83.2224,3.5952,49,76,0.0200,1.0000,102,nie
124567_poprawny_L1C_class,spectral angle mapping,PCA,77.0972,82.4234,5.3262,35,75,0.0002,0.0178,102,TAK
124567_poprawny_L1C_class,minimum distance,PCA,76.4314,81.7577,5.3262,28,68,0.0001,0.0062,102,TAK
124567_poprawny_L1C_roi,maximum likelihood,OneClassSVM,56.1917,58.0559,1.8642,8,22,0.0176,1.0000,102,nie
124567_poprawny_L1C_roi,random forest,Robust_Mahalanobis,45.5393,46.2051,0.6658,9,14,0.4049,1.0000,102,nie
124567_poprawny_L1C_roi,multi-layer perceptron,kNN,78.8282,80.2929,1.4647,20,31,0.1614,1.0000,102,nie
124567_poprawny_L1C_roi,support vector machine,PCA_Reconstruction,79.6272,80.4261,0.7989,0,6,0.0312,1.0000,102,nie
124567_poprawny_L1C_roi,spectral angle mapping,IQR,77.0972,77.7630,0.6658,7,12,0.3593,1.0000,102,nie
124567_poprawny_L1C_roi,minimum distance,IQR,76.4314,76.9640,0.5326,1,5,0.2188,1.0000,102,nie
124567_poprawny_L2A_class,maximum likelihood,Robust_Mahalanobis,58.4554,64.7137,6.2583,30,77,0.0000,0.0008,102,TAK
124567_poprawny_L2A_class,random forest,HotellingT2,72.9694,74.9667,1.9973,20,35,0.0591,1.0000,102,nie
124567_poprawny_L2A_class,multi-layer perceptron,Mahalanobis,63.1158,71.1052,7.9893,34,94,0.0000,0.0000,102,TAK
124567_poprawny_L2A_class,support vector machine,Robust_Mahalanobis,75.2330,84.8202,9.5872,21,93,0.0000,0.0000,102,TAK
